post_id,umap1,umap2,cluster,cluster_label
13t748t,4.8250666,5.2320156,1,Post-Chemo Hair Regrowth
13tjc2k,6.4499135,7.4415193,1,Post-Chemo Hair Regrowth
13weme4,7.784167,7.6127996,1,Post-Chemo Hair Regrowth
146xrf7,8.99274,5.031357,2,Post-Treatment Side Effects
148g78x,7.7446985,2.554605,5,Emotional Struggles Post-Treatment
148um5q,8.655586,2.871762,2,Post-Treatment Side Effects
149xarl,9.141059,2.517012,2,Post-Treatment Side Effects
14dw5r2,8.313139,7.512812,3,Hair Loss & Regrowth Journey
14gbqex,9.028047,4.923004,2,Post-Treatment Side Effects
14h6gtb,4.988699,7.057319,1,Post-Chemo Hair Regrowth
14haxsf,8.518288,2.9413033,5,Emotional Struggles Post-Treatment
14i02vy,5.2940807,7.4966974,1,Post-Chemo Hair Regrowth
14ixz2b,6.872657,8.190821,1,Post-Chemo Hair Regrowth
14jvfrs,6.293604,8.633363,1,Post-Chemo Hair Regrowth
14k12v9,6.57913,8.587763,1,Post-Chemo Hair Regrowth
14k1xnf,9.360197,1.7085471,6,Milestones and Survivorship Updates
14p5caa,3.1545517,5.2455683,4,Chemo Curls Hair Care
14q7puj,6.436654,5.0284066,3,Hair Loss & Regrowth Journey
14rb6z0,8.02887,7.803823,1,Post-Chemo Hair Regrowth
14tm3tb,7.1197915,3.625994,5,Emotional Struggles Post-Treatment
14wd3tm,6.7633753,7.486475,1,Post-Chemo Hair Regrowth
14wgsz9,2.8204422,5.901474,4,Chemo Curls Hair Care
14x2pjo,9.228658,2.5979812,2,Post-Treatment Side Effects
14xjqw5,3.0536053,6.355947,4,Chemo Curls Hair Care
14z48km,5.7939806,8.377226,1,Post-Chemo Hair Regrowth
14zo8nl,7.015324,7.507653,1,Post-Chemo Hair Regrowth
14zqllg,4.563875,6.084994,3,Hair Loss & Regrowth Journey
150pgvq,3.9080095,7.202537,4,Chemo Curls Hair Care
151l9e8,5.867252,7.5972433,1,Post-Chemo Hair Regrowth
151owr8,7.264458,7.0181136,1,Post-Chemo Hair Regrowth
1527uw4,5.469843,7.129194,1,Post-Chemo Hair Regrowth
152yeim,7.83615,1.7664208,5,Emotional Struggles Post-Treatment
152yeym,7.7219405,1.8022597,5,Emotional Struggles Post-Treatment
153fteu,8.234031,4.085787,2,Post-Treatment Side Effects
1549k2l,6.683117,7.4535546,1,Post-Chemo Hair Regrowth
158kfyv,3.199601,5.2922726,4,Chemo Curls Hair Care
15ar9jx,6.2938333,7.204368,1,Post-Chemo Hair Regrowth
15dlv0n,7.2695417,2.3544312,5,Emotional Struggles Post-Treatment
15dlx78,7.2128,2.3707664,5,Emotional Struggles Post-Treatment
15j5510,7.0148425,6.1881204,3,Hair Loss & Regrowth Journey
15oqb9y,9.190048,1.8676573,6,Milestones and Survivorship Updates
15q2itk,4.759267,5.609028,3,Hair Loss & Regrowth Journey
15r0qsn,5.140557,5.244536,3,Hair Loss & Regrowth Journey
15s32xd,6.2039127,4.57552,3,Hair Loss & Regrowth Journey
15tak9l,7.1276784,7.5074797,1,Post-Chemo Hair Regrowth
15taxr3,9.218303,1.432202,6,Milestones and Survivorship Updates
15u5dtj,7.87187,2.0395806,5,Emotional Struggles Post-Treatment
15x9tcl,6.4999266,8.255362,1,Post-Chemo Hair Regrowth
15yldo5,4.0872555,7.128749,3,Hair Loss & Regrowth Journey
164l4wo,9.566257,2.6803613,6,Milestones and Survivorship Updates
164u3d5,4.173785,6.342572,3,Hair Loss & Regrowth Journey
168kaaa,7.184477,6.8056574,1,Post-Chemo Hair Regrowth
168zmc6,6.392167,8.223184,1,Post-Chemo Hair Regrowth
1691wuk,7.4070597,7.4398484,1,Post-Chemo Hair Regrowth
169cft5,9.114279,1.4417189,6,Milestones and Survivorship Updates
16cx6u0,6.7426744,8.429098,1,Post-Chemo Hair Regrowth
16gdumk,8.719849,7.8965206,1,Post-Chemo Hair Regrowth
16gpyhi,8.261204,6.4824486,1,Post-Chemo Hair Regrowth
16ixfon,9.4483385,1.3467529,6,Milestones and Survivorship Updates
16jl6dn,7.2623086,6.4202886,1,Post-Chemo Hair Regrowth
16jyto3,9.599528,3.7356067,2,Post-Treatment Side Effects
16k6r2o,4.730827,6.147027,3,Hair Loss & Regrowth Journey
16n369w,9.378717,5.571548,2,Post-Treatment Side Effects
16oj56l,6.6070333,7.43227,1,Post-Chemo Hair Regrowth
16pgjd9,7.3845716,2.0266192,5,Emotional Struggles Post-Treatment
16rv7er,7.345996,6.5288224,1,Post-Chemo Hair Regrowth
16u3gwo,3.1441925,5.122811,4,Chemo Curls Hair Care
16wlqqx,2.563706,5.9827676,4,Chemo Curls Hair Care
16xrak4,10.2121525,2.1687007,2,Post-Treatment Side Effects
16z3kgu,2.1787012,6.67546,4,Chemo Curls Hair Care
16zx4iy,9.201676,3.3712547,2,Post-Treatment Side Effects
170ozr0,2.5678563,5.6549196,4,Chemo Curls Hair Care
170qwr3,5.0273275,4.546399,3,Hair Loss & Regrowth Journey
173iwda,2.3657932,6.746312,4,Chemo Curls Hair Care
173ixto,2.4449658,6.8110013,4,Chemo Curls Hair Care
173izmu,2.316111,6.8271265,4,Chemo Curls Hair Care
173j0pf,2.281519,6.7813225,4,Chemo Curls Hair Care
174z0z7,6.017601,6.755444,3,Hair Loss & Regrowth Journey
175tc2m,4.727295,7.8607097,1,Post-Chemo Hair Regrowth
1789va3,6.287537,5.760608,3,Hair Loss & Regrowth Journey
179syo0,4.14343,7.289674,3,Hair Loss & Regrowth Journey
17a76vz,5.1914077,6.668206,4,Chemo Curls Hair Care
17bn9bw,4.1337986,5.2687755,3,Hair Loss & Regrowth Journey
17cu550,4.7561903,5.2494683,3,Hair Loss & Regrowth Journey
17dlvmr,6.2193656,6.906702,1,Post-Chemo Hair Regrowth
17eo4rc,7.6630015,2.5996525,5,Emotional Struggles Post-Treatment
17fxozb,7.1129985,7.7153726,1,Post-Chemo Hair Regrowth
17gkjjt,6.3771544,8.354056,1,Post-Chemo Hair Regrowth
17hl7w1,4.680357,4.564459,3,Hair Loss & Regrowth Journey
17j6mry,2.502071,6.1336937,4,Chemo Curls Hair Care
17oh1uo,7.453886,7.9436355,1,Post-Chemo Hair Regrowth
17qdqxl,6.874843,4.2170434,3,Hair Loss & Regrowth Journey
17qq4oq,8.059649,6.018717,1,Post-Chemo Hair Regrowth
17r8c3b,6.2447824,5.1055036,3,Hair Loss & Regrowth Journey
17tn4ki,8.325398,7.4860997,1,Post-Chemo Hair Regrowth
17tz4jl,5.590585,5.690186,3,Hair Loss & Regrowth Journey
17uzk9s,8.06178,2.147544,2,Post-Treatment Side Effects
17v2ics,8.585213,7.763462,1,Post-Chemo Hair Regrowth
17ylwef,9.009181,3.3504188,2,Post-Treatment Side Effects
17zqlid,1.768699,6.5130496,4,Chemo Curls Hair Care
186ulxk,8.741784,7.562431,3,Hair Loss & Regrowth Journey
187qzs0,3.3101523,6.2611127,4,Chemo Curls Hair Care
188qvdk,8.388677,7.551543,3,Hair Loss & Regrowth Journey
189r00l,10.059397,2.6623647,2,Post-Treatment Side Effects
18auy87,9.445865,4.0212007,2,Post-Treatment Side Effects
18b3p6d,7.7767243,2.1314685,5,Emotional Struggles Post-Treatment
18brgrz,6.4700046,8.666435,1,Post-Chemo Hair Regrowth
18culki,2.001602,6.565021,4,Chemo Curls Hair Care
18dsmzu,8.715376,7.9144015,1,Post-Chemo Hair Regrowth
18dy6wo,7.505767,3.2379901,5,Emotional Struggles Post-Treatment
18e0lmg,8.396072,7.90612,1,Post-Chemo Hair Regrowth
18e7suv,5.663857,6.2827883,3,Hair Loss & Regrowth Journey
18fabdk,4.5213227,4.6179357,3,Hair Loss & Regrowth Journey
18hko7b,9.837205,1.5005509,6,Milestones and Survivorship Updates
18hyzue,8.196047,8.317789,1,Post-Chemo Hair Regrowth
18icxr6,9.577019,3.5757434,2,Post-Treatment Side Effects
18ko909,8.035654,2.8501515,5,Emotional Struggles Post-Treatment
18litsi,7.2300134,6.5073085,3,Hair Loss & Regrowth Journey
18mk9hx,2.3288498,6.6749096,4,Chemo Curls Hair Care
18n6pup,7.219455,6.5686207,3,Hair Loss & Regrowth Journey
18pnudo,9.150903,3.939801,2,Post-Treatment Side Effects
18ptouj,9.427593,3.5628965,2,Post-Treatment Side Effects
18q3vxn,3.0295424,5.8530793,4,Chemo Curls Hair Care
18t8gf1,1.9711312,6.6107736,4,Chemo Curls Hair Care
18tvpg9,8.670186,6.3415112,1,Post-Chemo Hair Regrowth
18u9nom,8.947241,1.5299155,6,Milestones and Survivorship Updates
18vznfs,7.8725057,2.335931,5,Emotional Struggles Post-Treatment
18xucc9,1.7155294,6.6557317,4,Chemo Curls Hair Care
18y0y5g,6.9337196,7.171819,1,Post-Chemo Hair Regrowth
18yqksq,8.2289505,6.3066688,1,Post-Chemo Hair Regrowth
18yqqdc,8.215374,6.271856,1,Post-Chemo Hair Regrowth
19239qh,6.6114774,8.676134,1,Post-Chemo Hair Regrowth
192fjv9,9.206189,2.9654849,2,Post-Treatment Side Effects
194k1iy,6.7591724,6.5802255,1,Post-Chemo Hair Regrowth
194lrri,10.075553,2.323402,2,Post-Treatment Side Effects
194om37,7.053197,7.3508077,1,Post-Chemo Hair Regrowth
195b7dt,7.1574726,5.162404,2,Post-Treatment Side Effects
195bkj9,5.617625,7.831522,4,Chemo Curls Hair Care
198ndsx,4.9002767,7.9946547,1,Post-Chemo Hair Regrowth
199im71,7.9429684,1.7131034,5,Emotional Struggles Post-Treatment
19b568m,10.003045,2.7914674,6,Milestones and Survivorship Updates
19bjln9,8.636884,6.3251677,1,Post-Chemo Hair Regrowth
19bqufe,7.8994164,6.6622467,1,Post-Chemo Hair Regrowth
19bxpbw,9.608388,3.6687202,2,Post-Treatment Side Effects
19cefs7,2.533798,6.3036942,4,Chemo Curls Hair Care
19d5cbs,9.96468,2.478049,2,Post-Treatment Side Effects
19dr90t,3.284309,5.5584483,4,Chemo Curls Hair Care
19e54q6,2.7326968,5.7430067,4,Chemo Curls Hair Care
19ebltc,7.0021887,6.8819876,1,Post-Chemo Hair Regrowth
1abo14p,7.5708814,6.9679184,1,Post-Chemo Hair Regrowth
1abqeu5,6.8903656,6.762564,1,Post-Chemo Hair Regrowth
1acp6wn,8.666491,6.2841635,3,Hair Loss & Regrowth Journey
1adh45z,9.303988,1.9344459,6,Milestones and Survivorship Updates
1aefhdt,9.443929,1.5619515,6,Milestones and Survivorship Updates
1aejmye,6.7257714,4.609856,3,Hair Loss & Regrowth Journey
1ahbm76,6.7131343,7.103486,1,Post-Chemo Hair Regrowth
1ai1xwu,3.0857434,5.1435685,4,Chemo Curls Hair Care
1ak6dze,6.750427,7.881279,1,Post-Chemo Hair Regrowth
1anz352,8.73328,2.7708533,2,Post-Treatment Side Effects
1aqfkqr,2.6867995,5.9658384,4,Chemo Curls Hair Care
1artg2r,6.8522015,4.6007648,3,Hair Loss & Regrowth Journey
1asaout,8.85746,3.378441,2,Post-Treatment Side Effects
1au8pug,4.2779484,5.004876,3,Hair Loss & Regrowth Journey
1avejkl,6.8676605,7.6489177,1,Post-Chemo Hair Regrowth
1axacau,10.039509,2.0805502,6,Milestones and Survivorship Updates
1axis0l,8.513601,1.1805648,6,Milestones and Survivorship Updates
1b0lako,8.37838,2.422741,6,Milestones and Survivorship Updates
1b1pa9m,5.9931674,7.017228,1,Post-Chemo Hair Regrowth
1b4a7n4,9.29014,1.7702724,6,Milestones and Survivorship Updates
1b8rut6,6.6343465,5.3136044,3,Hair Loss & Regrowth Journey
1bcih88,6.821177,7.3404346,1,Post-Chemo Hair Regrowth
1bcmks7,2.4571097,6.476657,4,Chemo Curls Hair Care
1beyrgw,9.835379,2.133511,6,Milestones and Survivorship Updates
1bfqqes,8.711052,1.1573185,6,Milestones and Survivorship Updates
1bhka2c,7.8746533,1.7454185,5,Emotional Struggles Post-Treatment
1biwubh,3.731349,4.9478445,4,Chemo Curls Hair Care
1bjf2jl,7.491095,6.4466324,1,Post-Chemo Hair Regrowth
1bkairf,6.893412,8.309102,1,Post-Chemo Hair Regrowth
1bknok6,7.57278,2.862276,5,Emotional Struggles Post-Treatment
1bm5r92,5.781937,7.4311094,1,Post-Chemo Hair Regrowth
1bn7uxe,5.1766644,7.9273343,1,Post-Chemo Hair Regrowth
1bng7ar,7.905155,2.9157646,5,Emotional Struggles Post-Treatment
1bnicp9,8.327399,7.523162,3,Hair Loss & Regrowth Journey
1bo5vy8,8.3728895,6.5744123,1,Post-Chemo Hair Regrowth
1boxo3o,2.4309742,6.0696535,4,Chemo Curls Hair Care
1bq6jy5,10.084832,2.4113622,6,Milestones and Survivorship Updates
1bs9j7f,5.0051103,6.4223814,3,Hair Loss & Regrowth Journey
1bsko6x,8.081725,7.830568,1,Post-Chemo Hair Regrowth
1bt5i35,8.593989,3.011004,2,Post-Treatment Side Effects
1bu6e5y,4.796416,7.632389,1,Post-Chemo Hair Regrowth
1bv1xmc,7.5681643,7.3655944,2,Post-Treatment Side Effects
1bwyx8h,9.083366,1.3782915,6,Milestones and Survivorship Updates
1byk8o8,6.341077,8.009622,1,Post-Chemo Hair Regrowth
1c0sh44,8.370824,7.553732,3,Hair Loss & Regrowth Journey
1c0tfyv,9.420465,1.6790491,6,Milestones and Survivorship Updates
1c1lzmi,8.137376,1.6156652,5,Emotional Struggles Post-Treatment
1c342f5,5.620317,5.8379154,3,Hair Loss & Regrowth Journey
1c4s1wg,7.207784,8.088722,1,Post-Chemo Hair Regrowth
1c5o9f1,8.055328,1.7583203,5,Emotional Struggles Post-Treatment
1c5vy33,4.9199724,6.0869308,3,Hair Loss & Regrowth Journey
1c6dgra,7.7020526,2.459913,5,Emotional Struggles Post-Treatment
1c7dini,2.137231,6.2393255,4,Chemo Curls Hair Care
1c7dryq,1.7313775,6.7171597,4,Chemo Curls Hair Care
1c7k1o1,8.470399,2.4026444,5,Emotional Struggles Post-Treatment
1c8gxek,4.7917533,6.803494,4,Chemo Curls Hair Care
1c9j8rk,3.767495,5.277339,4,Chemo Curls Hair Care
1c9orzr,9.644976,2.8400338,6,Milestones and Survivorship Updates
1cc0rnl,5.0468535,7.79833,1,Post-Chemo Hair Regrowth
1cc736h,7.309038,3.2861378,5,Emotional Struggles Post-Treatment
1cc7fle,7.2941422,3.1869211,5,Emotional Struggles Post-Treatment
1cesjpe,6.595865,5.947878,3,Hair Loss & Regrowth Journey
1cexjko,4.767451,4.414148,6,Milestones and Survivorship Updates
1cfuc0m,5.4699483,7.037713,1,Post-Chemo Hair Regrowth
1chkbag,3.3745592,5.951513,4,Chemo Curls Hair Care
1cigsq3,7.264264,7.545676,1,Post-Chemo Hair Regrowth
1cizak4,6.7017345,7.7280035,1,Post-Chemo Hair Regrowth
1cj0kxu,6.6178966,5.3664575,3,Hair Loss & Regrowth Journey
1cjtdkc,8.76108,7.912464,1,Post-Chemo Hair Regrowth
1ck5eyf,6.6689715,7.0439296,1,Post-Chemo Hair Regrowth
1ckugla,2.8701055,5.87248,4,Chemo Curls Hair Care
1cl3dso,6.858027,5.628576,3,Hair Loss & Regrowth Journey
1cl8lry,6.9736423,6.640743,1,Post-Chemo Hair Regrowth
1clqma7,8.241546,7.910965,1,Post-Chemo Hair Regrowth
1cnhvwe,2.3302674,6.662232,4,Chemo Curls Hair Care
1cpovmu,7.091743,2.911032,5,Emotional Struggles Post-Treatment
1cr1o17,4.7696657,5.115664,1,Post-Chemo Hair Regrowth
1cs21i1,2.291466,6.822728,4,Chemo Curls Hair Care
1cs2tin,9.596616,2.52657,2,Post-Treatment Side Effects
1cs2wrq,9.631256,2.4204822,2,Post-Treatment Side Effects
1cs8kqn,4.0028114,5.040736,4,Chemo Curls Hair Care
1ctdxpt,5.934019,6.4919724,1,Post-Chemo Hair Regrowth
1cuxnzo,2.6630142,6.13901,4,Chemo Curls Hair Care
1cw6exq,9.481984,3.5010266,2,Post-Treatment Side Effects
1cw6frg,9.45025,3.5494065,2,Post-Treatment Side Effects
1cx4d41,6.5038466,7.2311964,1,Post-Chemo Hair Regrowth
1cxbxxr,8.29922,4.4516864,2,Post-Treatment Side Effects
1cxdt46,8.719246,6.541828,1,Post-Chemo Hair Regrowth
1cybmpp,7.5727015,6.225787,3,Hair Loss & Regrowth Journey
1cyicsb,1.9018002,6.7193036,4,Chemo Curls Hair Care
1d0gaw3,7.358311,8.129423,1,Post-Chemo Hair Regrowth
1d0rrdi,7.929891,2.6219995,5,Emotional Struggles Post-Treatment
1d19wk3,7.04039,6.703469,1,Post-Chemo Hair Regrowth
1d2el11,6.2823453,6.4198785,1,Post-Chemo Hair Regrowth
1d3f64f,1.7735436,6.69982,4,Chemo Curls Hair Care
1d3fmb9,9.139082,2.8252707,2,Post-Treatment Side Effects
1d4md1c,4.055014,6.310312,3,Hair Loss & Regrowth Journey
1d5wl7o,4.35778,6.6879306,3,Hair Loss & Regrowth Journey
1d74zj9,5.0718412,4.3345227,3,Hair Loss & Regrowth Journey
1d7bped,8.824543,2.82403,2,Post-Treatment Side Effects
1d7yk1q,6.900766,3.2106977,5,Emotional Struggles Post-Treatment
1d87diu,8.927396,3.2818801,5,Emotional Struggles Post-Treatment
1d9h8gq,5.9276977,6.146376,1,Post-Chemo Hair Regrowth
1d9h9dv,5.9601808,6.138118,1,Post-Chemo Hair Regrowth
1d9zg7g,6.92018,7.7231665,1,Post-Chemo Hair Regrowth
1dbnsnu,8.251064,1.6211797,5,Emotional Struggles Post-Treatment
1dbtwd7,6.823974,5.407132,1,Post-Chemo Hair Regrowth
1dbyody,8.371714,7.7019377,3,Hair Loss & Regrowth Journey
1dcqsvp,6.9333496,8.430212,1,Post-Chemo Hair Regrowth
1deddky,9.147667,2.0921328,6,Milestones and Survivorship Updates
1dee21n,6.4833536,8.484701,1,Post-Chemo Hair Regrowth
1deff21,2.3144383,6.2655096,4,Chemo Curls Hair Care
1dg0ivc,9.811407,1.5394222,6,Milestones and Survivorship Updates
1dgzh97,9.886745,1.6949855,6,Milestones and Survivorship Updates
1dgzj9o,7.195249,2.4463553,5,Emotional Struggles Post-Treatment
1dhm3i8,8.730802,7.1286206,3,Hair Loss & Regrowth Journey
1dizd0f,9.039499,3.8932328,2,Post-Treatment Side Effects
1djm4fu,6.5989423,8.008326,1,Post-Chemo Hair Regrowth
1dk04l9,4.599003,4.5799,3,Hair Loss & Regrowth Journey
1dkdhgg,5.5344296,6.48078,3,Hair Loss & Regrowth Journey
1dkygag,7.0335913,7.320583,1,Post-Chemo Hair Regrowth
1dlbj91,3.2800877,6.4659495,4,Chemo Curls Hair Care
1dmfqwl,6.1783743,7.4841614,1,Post-Chemo Hair Regrowth
1dmzyhw,9.531749,3.0755315,2,Post-Treatment Side Effects
1doaatf,3.0410767,6.475478,4,Chemo Curls Hair Care
1dpbgfd,4.3384175,7.190346,3,Hair Loss & Regrowth Journey
1dqle46,9.158465,1.9180211,6,Milestones and Survivorship Updates
1dqocyv,5.984362,8.055078,1,Post-Chemo Hair Regrowth
1dri9ha,2.940888,6.252735,4,Chemo Curls Hair Care
1dtr0td,8.231644,4.9858766,2,Post-Treatment Side Effects
1dw6lk7,6.195419,7.178583,1,Post-Chemo Hair Regrowth
1dw99b0,8.589421,6.3451943,3,Hair Loss & Regrowth Journey
1dwh6fq,6.002553,8.304284,1,Post-Chemo Hair Regrowth
1dwy1c2,5.9553556,8.577027,1,Post-Chemo Hair Regrowth
1dx2r2s,8.046004,5.6994486,1,Post-Chemo Hair Regrowth
1dy0asr,6.8201656,7.3036675,1,Post-Chemo Hair Regrowth
1dy8qu2,3.7770934,6.4658833,4,Chemo Curls Hair Care
1dyd5bq,7.948637,6.3941913,1,Post-Chemo Hair Regrowth
1dyjbeh,3.1489964,5.3329315,4,Chemo Curls Hair Care
1e05xq9,2.4996858,6.503466,4,Chemo Curls Hair Care
1e0y2ax,5.1893053,6.5432644,3,Hair Loss & Regrowth Journey
1e3zf4q,4.6430597,4.7052298,3,Hair Loss & Regrowth Journey
1e44rag,8.093088,2.599893,5,Emotional Struggles Post-Treatment
1e4ypxm,4.301803,6.60987,3,Hair Loss & Regrowth Journey
1e5lwrw,6.4910064,6.0622573,2,Post-Treatment Side Effects
1e72w0s,9.374342,5.2544217,2,Post-Treatment Side Effects
1e83pms,6.6114297,4.7510223,3,Hair Loss & Regrowth Journey
1e8p1bn,3.6184433,5.696594,4,Chemo Curls Hair Care
1e8vdql,6.812526,5.4160457,3,Hair Loss & Regrowth Journey
1eajwj7,5.672734,4.623199,3,Hair Loss & Regrowth Journey
1eau48n,7.526524,2.2828155,5,Emotional Struggles Post-Treatment
1eba74z,9.287821,1.5253565,6,Milestones and Survivorship Updates
1ecgasx,8.159519,7.5177045,4,Chemo Curls Hair Care
1eewoav,8.709399,7.533645,2,Post-Treatment Side Effects
1egzh6z,3.271722,6.360611,4,Chemo Curls Hair Care
1ejygkn,7.051914,7.187044,1,Post-Chemo Hair Regrowth
1ekmk1f,8.360786,1.5629878,5,Emotional Struggles Post-Treatment
1eo77ga,7.532138,2.4592052,5,Emotional Struggles Post-Treatment
1epjn3h,9.536032,1.9286736,6,Milestones and Survivorship Updates
1eqlrr0,7.1961064,6.239033,3,Hair Loss & Regrowth Journey
1ergkqb,6.2713513,5.2157874,3,Hair Loss & Regrowth Journey
1erj5u8,10.100753,2.6910262,6,Milestones and Survivorship Updates
1es8l2m,2.3162913,6.438919,4,Chemo Curls Hair Care
1esf9st,3.8724937,5.5477457,4,Chemo Curls Hair Care
1eswwx8,5.7431235,5.872714,1,Post-Chemo Hair Regrowth
1et5ql9,8.3267975,7.9932303,1,Post-Chemo Hair Regrowth
1etvkr1,1.9584583,6.434287,4,Chemo Curls Hair Care
1eu1pml,8.345711,5.007327,2,Post-Treatment Side Effects
1ewxrrg,6.4893746,8.295327,1,Post-Chemo Hair Regrowth
1f0a1xo,7.7313814,6.3743486,1,Post-Chemo Hair Regrowth
1f0a3my,7.656792,6.4733624,1,Post-Chemo Hair Regrowth
1f0iynv,5.687017,6.9235954,3,Hair Loss & Regrowth Journey
1f0yxjl,5.73762,8.362416,4,Chemo Curls Hair Care
1f3a9fu,3.1556613,5.378639,4,Chemo Curls Hair Care
1f4fdmh,7.521312,6.693077,1,Post-Chemo Hair Regrowth
1f56i1y,7.4728365,1.8008006,5,Emotional Struggles Post-Treatment
1f5gq7c,3.8965602,6.8687625,4,Chemo Curls Hair Care
1f5vk8h,1.9787105,6.5254683,4,Chemo Curls Hair Care
1f5yxb7,3.1236455,5.3739576,4,Chemo Curls Hair Care
1f6hdwk,7.0420833,4.57006,2,Post-Treatment Side Effects
1f7hppo,6.6969533,5.181068,3,Hair Loss & Regrowth Journey
1f7ptqh,9.548212,3.77049,2,Post-Treatment Side Effects
1f9712f,7.6151266,2.4450638,5,Emotional Struggles Post-Treatment
1fbb8z4,9.48843,3.662414,2,Post-Treatment Side Effects
1fc6zkc,3.7049632,5.0037036,4,Chemo Curls Hair Care
1fcd3mh,7.816026,2.3235154,5,Emotional Struggles Post-Treatment
1fcp29c,10.617406,2.9227283,6,Milestones and Survivorship Updates
